Algorithm Name,Solution,Env Size,Objective Function,Iterations,Time
hill_climbing,"[3, 8, 2, 0, 9, 1, 5, 11, 10, 7, 4, 6]",12,2,7,0.01238870620727539
hill_climbing,"[11, 9, 7, 4, 1, 3, 0, 10, 8, 5, 2, 2]",12,1,6,0.010997772216796875
hill_climbing,"[11, 4, 2, 13, 8, 10, 3, 1, 9, 5, 0, 10, 7, 0, 12]",15,2,7,0.02908158302307129
hill_climbing,"[7, 11, 0, 14, 6, 10, 3, 13, 8, 4, 1, 12, 2, 5, 7]",15,1,7,0.030997753143310547
hill_climbing,"[14, 1, 13, 9, 3, 12, 4, 11, 0, 2, 12, 5, 1, 8, 10]",15,2,6,0.024958133697509766
hill_climbing,"[6, 4, 0, 7, 12, 2, 11, 2, 8, 10, 9, 3, 14, 5, 1]",15,4,6,0.025876760482788086
hill_climbing,"[0, 11, 6, 10, 5, 1, 14, 0, 3, 12, 12, 8, 4, 2, 13]",15,2,8,0.03511333465576172
hill_climbing,"[8, 3, 11, 0, 10, 5, 5, 1, 4, 12, 14, 9, 7, 4, 2]",15,3,6,0.032140493392944336
hill_climbing,"[2, 5, 3, 1, 12, 8, 13, 0, 14, 0, 4, 6, 9, 12, 10]",15,2,7,0.03192019462585449
hill_climbing,"[6, 3, 7, 11, 4, 14, 1, 10, 2, 0, 8, 12, 9, 13, 10]",15,3,5,0.02100205421447754
hill_climbing,"[11, 9, 0, 10, 3, 0, 2, 12, 1, 6, 13, 5, 14, 1, 4]",15,2,7,0.0349884033203125
hill_climbing,"[4, 6, 14, 0, 7, 3, 13, 8, 1, 9, 12, 2, 11, 8, 10]",15,1,9,0.06151247024536133
hill_climbing,"[6, 12, 2, 0, 14, 5, 9, 0, 4, 7, 1, 10, 13, 1, 8]",15,3,6,0.027641773223876953
hill_climbing,"[13, 5, 2, 14, 10, 7, 4, 1, 3, 0, 9, 12, 8, 6, 11]",15,1,10,0.04600358009338379
hill_climbing,"[11, 6, 3, 9, 4, 1, 14, 10, 7, 0, 8, 13, 2, 6, 11]",15,2,8,0.03999686241149902
hill_climbing,"[0, 12, 3, 7, 13, 2, 9, 1, 10, 14, 11, 0, 4, 6, 0]",15,3,6,0.02995586395263672
hill_climbing,"[2, 10, 5, 7, 0, 4, 14, 8, 13, 3, 12, 9, 1, 6, 11]",15,2,6,0.02599644660949707
hill_climbing,"[9, 7, 2, 0, 14, 10, 5, 3, 12, 4, 2, 6, 13, 1, 8]",15,2,8,0.03700423240661621
hill_climbing,"[12, 3, 7, 0, 13, 8, 5, 14, 9, 1, 4, 11, 6, 2, 10]",15,2,7,0.03899979591369629
hill_climbing,"[2, 14, 7, 3, 8, 13, 1, 6, 0, 2, 11, 5, 10, 4, 0]",15,2,9,0.03898262977600098
hill_climbing,"[5, 9, 13, 4, 10, 14, 2, 9, 12, 0, 3, 1, 11, 5, 8]",15,2,7,0.030445337295532227
hill_climbing,"[1, 6, 8, 11, 2, 0, 5, 9, 4, 13, 10, 7, 3, 12, 3]",15,3,6,0.02999734878540039
hill_climbing,"[13, 6, 10, 12, 4, 1, 8, 11, 14, 0, 7, 5, 2, 14, 9]",15,2,8,0.04192852973937988
hill_climbing,"[7, 0, 13, 3, 12, 8, 11, 1, 4, 10, 14, 2, 9, 5, 0]",15,2,9,0.04200291633605957
hill_climbing,"[13, 3, 7, 12, 4, 11, 14, 0, 2, 8, 8, 0, 9, 1, 5]",15,2,6,0.03002166748046875
hill_climbing,"[2, 3, 6, 8, 10, 14, 4, 0, 5, 9, 13, 12, 0, 7, 1]",15,3,7,0.04799795150756836
hill_climbing,"[0, 9, 6, 10, 3, 14, 0, 8, 13, 0, 12, 1, 5, 11, 2]",15,2,7,0.03799939155578613
hill_climbing,"[4, 11, 13, 6, 1, 3, 13, 9, 3, 14, 0, 2, 12, 7, 0]",15,3,5,0.028121232986450195
hill_climbing,"[1, 3, 5, 7, 13, 11, 0, 14, 6, 0, 2, 8, 12, 9, 4]",15,1,7,0.026900053024291992
hill_climbing,"[4, 9, 11, 0, 5, 3, 1, 10, 7, 2, 6, 13, 0, 5, 8]",15,2,9,0.06114816665649414
hill_climbing,"[1, 10, 13, 0, 6, 8, 11, 14, 8, 3, 9, 4, 2, 5, 12]",15,2,7,0.03142809867858887
hill_climbing,"[4, 7, 1, 13, 2, 0, 8, 10, 5, 14, 11, 0, 6, 9, 5]",15,2,7,0.037344932556152344
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.007038593292236328
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.006997823715209961
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.010512590408325195
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.00706028938293457
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.007544279098510742
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.010040521621704102
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.008040904998779297
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.007357597351074219
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.0059969425201416016
simulated_annealing,"[1, 3, 0, 2]",4,0,918,0.006993770599365234
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.007999658584594727
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.007077932357788086
simulated_annealing,"[1, 3, 0, 2]",4,0,918,0.007516622543334961
simulated_annealing,"[1, 3, 0, 2]",4,0,918,0.006999015808105469
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.00706028938293457
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.008000612258911133
simulated_annealing,"[1, 3, 0, 2]",4,0,918,0.011011123657226562
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.00806283950805664
simulated_annealing,"[1, 3, 0, 2]",4,0,918,0.00899648666381836
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.008058309555053711
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.006772518157958984
simulated_annealing,"[1, 3, 0, 2]",4,0,918,0.007002592086791992
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.007002592086791992
simulated_annealing,"[1, 3, 0, 2]",4,0,918,0.008430242538452148
simulated_annealing,"[1, 3, 0, 2]",4,0,918,0.007003068923950195
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.008061885833740234
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.006953239440917969
simulated_annealing,"[2, 0, 3, 1]",4,0,918,0.007041454315185547
simulated_annealing,"[1, 3, 0, 2]",4,0,918,0.005998849868774414
simulated_annealing,"[1, 3, 0, 2]",4,0,918,0.011133909225463867
simulated_annealing,"[4, 7, 3, 0, 6, 1, 5, 2]",8,0,974,0.024921178817749023
simulated_annealing,"[0, 4, 1, 3, 6, 2, 7, 5]",8,1,1000,0.026024580001831055
simulated_annealing,"[3, 5, 7, 2, 0, 6, 4, 7]",8,1,1000,0.023001909255981445
simulated_annealing,"[3, 5, 7, 2, 0, 6, 1, 5]",8,1,1000,0.023016691207885742
simulated_annealing,"[6, 2, 7, 5, 0, 5, 1, 4]",8,1,1000,0.022639751434326172
simulated_annealing,"[4, 0, 1, 5, 7, 2, 6, 3]",8,1,1000,0.02732062339782715
simulated_annealing,"[2, 5, 3, 0, 7, 4, 6, 3]",8,1,1000,0.025209903717041016
simulated_annealing,"[7, 4, 2, 0, 6, 3, 5, 1]",8,1,1000,0.023697614669799805
simulated_annealing,"[2, 7, 3, 6, 0, 5, 1, 4]",8,0,918,0.026016950607299805
simulated_annealing,"[3, 0, 4, 7, 1, 6, 2, 5]",8,0,918,0.027004241943359375
simulated_annealing,"[3, 5, 7, 1, 6, 0, 2, 4]",8,0,918,0.024997711181640625
simulated_annealing,"[4, 6, 0, 2, 7, 5, 3, 1]",8,0,918,0.022526264190673828
simulated_annealing,"[5, 1, 6, 0, 3, 7, 4, 2]",8,0,918,0.02414250373840332
simulated_annealing,"[7, 4, 1, 5, 2, 6, 3, 3]",8,1,1000,0.021620512008666992
simulated_annealing,"[1, 3, 6, 2, 7, 4, 0, 5]",8,1,1000,0.027615070343017578
simulated_annealing,"[7, 1, 3, 0, 6, 4, 2, 5]",8,0,918,0.02221846580505371
simulated_annealing,"[2, 4, 1, 7, 0, 6, 3, 5]",8,0,918,0.018944978713989258
simulated_annealing,"[1, 4, 7, 5, 2, 0, 6, 3]",8,1,1000,0.024536848068237305
simulated_annealing,"[4, 1, 3, 6, 2, 7, 5, 0]",8,0,918,0.01929950714111328
simulated_annealing,"[4, 6, 3, 0, 2, 7, 5, 1]",8,0,918,0.02404046058654785
simulated_annealing,"[1, 4, 2, 0, 6, 3, 5, 7]",8,1,1000,0.02123284339904785
simulated_annealing,"[3, 6, 0, 2, 5, 7, 2, 4]",8,1,1000,0.020999431610107422
simulated_annealing,"[4, 1, 3, 0, 2, 7, 1, 6]",8,1,1000,0.021055936813354492
simulated_annealing,"[4, 0, 3, 5, 7, 1, 6, 2]",8,0,918,0.021043777465820312
simulated_annealing,"[4, 4, 1, 3, 5, 7, 2, 0]",8,1,1000,0.022922277450561523
simulated_annealing,"[4, 4, 7, 0, 2, 5, 1, 6]",8,1,1000,0.02220296859741211
simulated_annealing,"[1, 4, 6, 0, 3, 5, 0, 2]",8,1,1000,0.023993253707885742
simulated_annealing,"[5, 1, 6, 0, 2, 4, 7, 3]",8,0,918,0.02208542823791504
simulated_annealing,"[2, 6, 1, 7, 4, 0, 3, 5]",8,0,918,0.024120569229125977
simulated_annealing,"[7, 2, 0, 5, 1, 4, 6, 3]",8,0,918,0.026079416275024414
simulated_annealing,"[5, 2, 4, 9, 0, 8, 4, 7, 1, 6]",10,1,1000,0.034632205963134766
simulated_annealing,"[1, 8, 5, 0, 2, 9, 6, 3, 7, 2]",10,1,1000,0.034781455993652344
simulated_annealing,"[5, 1, 8, 4, 0, 9, 3, 6, 0, 2]",10,1,1000,0.036041259765625
simulated_annealing,"[6, 0, 9, 5, 8, 2, 4, 7, 1, 4]",10,1,1000,0.0383603572845459
simulated_annealing,"[6, 9, 3, 5, 0, 8, 1, 4, 7, 3]",10,1,1000,0.03133416175842285
